,ParticipantID,TrialNum,Modality,Task,Dataset,ModalityOrder,TaskOrder,DatasetOrder,Repetition,Target,CorrectAnswer,UserAnswer,UserStartTime,UserEndTime,Drop Notes,Pick up phys,Use body reference frame,TimeOnTask,CompareError,_UserDataRange,_CorrectDataRange,RangeError,CircleDataRange,AdvectError,Error
1,101,2,2d,range,2-0,0,0,1,1,H10,1171-2040,1150-2100,1690479787,1690479829,,,,42,,"[1150.0, 2100.0]","[1171.0, 2040.0]",0.015035654481225598,869.0,,0.015035654481225598
2,101,3,2d,range,2-0,0,0,1,2,B3,1150-1805,1100-1800,1690479834,1690479864,,,,30,,"[1100.0, 1800.0]","[1150.0, 1805.0]",0.010209395018116147,655.0,,0.010209395018116147
3,101,4,2d,range,2-0,0,0,1,3,B9,2041-2598,2050-2600,1690479875,1690479895,,,,20,,"[2050.0, 2600.0]","[2041.0, 2598.0]",0.0020418790036232297,557.0,,0.0020418790036232297
5,101,6,2d,compare,2-0,0,1,1,1,C1-F7-J9,J9,J9,1690480024,1690480057,,,,33,0.0,,,,,,0.0
6,101,7,2d,compare,2-0,0,1,1,2,I2-F5-C7,I2,I2,1690480062,1690480080,,,,18,0.0,,,,,,0.0
7,101,8,2d,compare,2-0,0,1,1,3,I4-H10-E3,I4,I4,1690480083,1690480114,,,,31,0.0,,,,,,0.0
9,101,10,2d,advect,2-0,0,2,1,1,C7,07:23,07:15,1690480347,1690480374,,,,27,,,,,662.0,0.011111111111111112,0.011111111111111112
10,101,11,2d,advect,2-0,0,2,1,2,B5,03:30,03:30,1690480382,1690480406,,,,24,,,,,756.0,0.0,0.0
11,101,12,2d,advect,2-0,0,2,1,3,B3,07:34,07:30,1690480409,1690480423,,,,14,,,,,655.0,0.005555555555555556,0.005555555555555556
13,101,14,physical,compare,2-0,1,1,1,1,E8-J1-A2,J1,J1,1690481000,1690481013,,,Multiple Fingers,13,0.0,,,,,,0.0
14,101,15,physical,compare,2-0,1,1,1,2,D6-A9-J8,J8,J8,1690481016,1690481035,,,Multiple Fingers,19,0.0,,,,,,0.0
15,101,16,physical,compare,2-0,1,1,1,3,G4-D10-C4,G4,G4,1690481037,1690481054,,,Multiple Fingers,17,0.0,,,,,,0.0
17,101,18,physical,advect,2-0,1,2,1,1,B9,08:55,06:00,1690481219,1690481246,,,,27,,,,,557.0,0.24305555555555555,0.24305555555555555
18,101,19,physical,advect,2-0,1,2,1,2,A7,08:20,08:30,1690481248,1690481267,,,,19,,,,,548.0,0.01388888888888881,0.01388888888888881
19,101,20,physical,advect,2-0,1,2,1,3,G8,04:52,05:15,1690481270,1690481291,,,,21,,,,,736.0,0.03194444444444444,0.03194444444444444
21,101,22,physical,range,2-0,1,0,1,1,F10,1416-2154,1400-2200,1690481443,1690481477,,,,34,,"[1400.0, 2200.0]","[1416.0, 2154.0]",0.011508772565876384,738.0,,0.011508772565876384
22,101,23,physical,range,2-0,1,0,1,2,G8,1073-1809,1000-1900,1690481479,1690481505,,,,26,,"[1000.0, 1900.0]","[1073.0, 1809.0]",0.030442559690382693,736.0,,0.030442559690382693
23,101,24,physical,range,2-0,1,0,1,3,C7,1415-2077,1500-2300,1690481509,1690481553,,,,44,,"[1500.0, 2300.0]","[1415.0, 2077.0]",0.05717261210145042,662.0,,0.05717261210145042
25,101,26,3d,advect,2-0,2,2,1,1,E7,05:36,05:45,1690482260,1690482283,,,,23,,,,,717.0,0.0125,0.0125
26,101,27,3d,advect,2-0,2,2,1,2,D9,09:41,06:15,1690482291,1690482314,,,,23,,,,,582.0,0.2861111111111111,0.2861111111111111
27,101,28,3d,advect,2-0,2,2,1,3,F10,06:59,06:50,1690482317,1690482335,,,,18,,,,,738.0,0.0125,0.0125
29,101,30,3d,range,2-0,2,0,1,1,B5,1409-2165,1000-2100,1690482488,1690482525,,,,37,,"[1000.0, 2100.0]","[1409.0, 2165.0]",0.08798642251976461,756.0,,0.08798642251976461
30,101,31,3d,range,2-0,2,0,1,2,D9,1752-2334,1700-2100,1690482530,1690482558,,,,28,,"[1700.0, 2100.0]","[1752.0, 2334.0]",0.05308885409420397,582.0,,0.05308885409420397
31,101,32,3d,range,2-0,2,0,1,3,E7,1323-2040,1400-2000,1690482563,1690482593,,,,30,,"[1400.0, 2000.0]","[1323.0, 2040.0]",0.02171816758399253,717.0,,0.02171816758399253
33,101,34,3d,compare,2-0,2,1,1,1,G9-E1-A3,E1,E1,1690482616,1690482633,,,,17,0.0,,,,,,0.0
34,101,35,3d,compare,2-0,2,1,1,2,B9-E4-A4,E4,E4,1690482638,1690482652,,,,14,0.0,,,,,,0.0
35,101,36,3d,compare,2-0,2,1,1,3,B7-F9-H2,H2,H2,1690482657,1690482675,,,,18,0.0,,,,,,0.0
37,102,2,physical,range,0-2,0,0,1,1,F7,435-1090,500-1050,1690821476,1690821510,,,Multiple Fingers,34,,"[500.0, 1050.0]","[435.0, 1090.0]",0.044146031722569784,655.0,,0.044146031722569784
38,102,3,physical,range,0-2,0,0,1,2,E5,623-1095,500-850,1690821518,1690821555,,Rotate,Multiple Fingers,37,,"[500.0, 850.0]","[623.0, 1095.0]",0.15472133022767315,472.0,,0.15472133022767315
39,102,4,physical,range,0-2,0,0,1,3,C8,630-1095,700-950,1690821558,1690821606,,Rotate,Multiple Fingers,48,,"[700.0, 950.0]","[630.0, 1095.0]",0.0903942554319286,465.0,,0.0903942554319286
41,102,6,physical,compare,0-2,0,1,1,1,B7-B1-I9,I9,I9,1690821757,1690821783,,,Multiple Fingers,26,0.0,,,,,,0.0
42,102,7,physical,compare,0-2,0,1,1,2,J2-G8-B9,G8,G8,1690821784,1690821809,,,Multiple Fingers,25,0.0,,,,,,0.0
43,102,8,physical,compare,0-2,0,1,1,3,H9-B2-F5,H9,H9,1690821811,1690821870,,,Multiple Fingers,59,0.0,,,,,,0.0
45,102,10,physical,advect,0-2,0,2,1,1,E5,05:05,07:30,1690822050,1690822069,,,One Finger,19,,,,,472.0,0.2013888888888889,0.2013888888888889
46,102,11,physical,advect,0-2,0,2,1,2,I2,09:57,10:00,1690822071,1690822085,,,One Finger,14,,,,,495.0,0.004166666666666667,0.004166666666666667
47,102,12,physical,advect,0-2,0,2,1,3,C8,10:07,10:00,1690822086,1690822098,,,One Finger,12,,,,,465.0,0.009722222222222222,0.009722222222222222
49,102,14,2d,compare,0-2,1,1,1,1,I6-D5-E1,I6,I6,1690822792,1690822815,,,Multiple Fingers,23,0.0,,,,,,0.0
50,102,15,2d,compare,0-2,1,1,1,2,G10-C1-A7,A7,G10,1690822815,1690822851,,,Multiple Fingers,36,1.0,,,,,,1.0
51,102,16,2d,compare,0-2,1,1,1,3,J10-G7-J3,J10,J10,1690822852,1690822889,,,,37,0.0,,,,,,0.0
53,102,18,2d,advect,0-2,1,2,1,1,A10,01:15,01:15,1690823104,1690823141,,,,37,,,,,913.0,0.0,0.0
54,102,19,2d,advect,0-2,1,2,1,2,G10,09:28,09:30,1690823142,1690823193,,,,51,,,,,723.0,0.002777777777777778,0.002777777777777778
55,102,20,2d,advect,0-2,1,2,1,3,F7,06:44,06:45,1690823205,1690823230,,,,25,,,,,655.0,0.001388888888888889,0.001388888888888889
57,102,22,2d,range,0-2,1,0,1,1,G10,309-1032,250-1040,1690823376,1690823427,,,,51,,"[250.0, 1040.0]","[309.0, 1032.0]",0.0281693726229731,723.0,,0.0281693726229731
58,102,23,2d,range,0-2,1,0,1,2,B4,658-1045,660-1040,1690823432,1690823482,,,,50,,"[660.0, 1040.0]","[658.0, 1045.0]",0.0029430687815046523,387.0,,0.0029430687815046523
59,102,24,2d,range,0-2,1,0,1,3,A10,302-1215,220-1250,1690823496,1690823541,,,,45,,"[220.0, 1250.0]","[302.0, 1215.0]",0.04919129249086347,913.0,,0.04919129249086347
61,102,26,3d,advect,0-2,2,2,1,1,B2,09:29,09:30,1690824189,1690824206,,,,17,,,,,337.0,0.001388888888888889,0.001388888888888889
62,102,27,3d,advect,0-2,2,2,1,2,B4,03:23,03:00,1690824207,1690824222,,,,15,,,,,387.0,0.03194444444444444,0.03194444444444444
63,102,28,3d,advect,0-2,2,2,1,3,J4,06:04,06:00,1690824224,1690824240,,,,16,,,,,707.0,0.005555555555555556,0.005555555555555556
65,102,30,3d,range,0-2,2,0,1,1,B2,826-1163,900-1150,1690824436,1690824486,,,,50,,"[900.0, 1150.0]","[826.0, 1163.0]",0.036578140570129244,337.0,,0.036578140570129244
66,102,31,3d,range,0-2,2,0,1,2,I2,495-990,300-700,1690824490,1690824534,,,,44,,"[300.0, 700.0]","[495.0, 990.0]",0.2039126227185366,495.0,,0.2039126227185366
67,102,32,3d,range,0-2,2,0,1,3,J4,353-1060,300-900,1690824539,1690824581,,,,42,,"[300.0, 900.0]","[353.0, 1060.0]",0.08955337863721298,707.0,,0.08955337863721298
69,102,34,3d,compare,0-2,2,1,1,1,C9-C4-I4,I4,C4,1690824660,1690824702,,,,42,1.0,,,,,,1.0
70,102,35,3d,compare,0-2,2,1,1,2,F2-J5-A10,J5,J5,1690824705,1690824741,,,,36,0.0,,,,,,0.0
71,102,36,3d,compare,0-2,2,1,1,3,I2-B8-E4,B8,B8,1690824742,1690824773,,,,31,0.0,,,,,,0.0
73,103,2,2d,range,0-1,0,0,1,1,F3,805-1781,750-1700,1690828467,1690828516,,,,49,,"[750.0, 1700.0]","[805.0, 1781.0]",0.03656559036792445,976.0,,0.03656559036792445
74,103,3,2d,range,0-1,0,0,1,2,J10,641-1896,720-1880,1690828522,1690828571,,,,49,,"[720.0, 1880.0]","[641.0, 1896.0]",0.02554214033053546,1255.0,,0.02554214033053546
75,103,4,2d,range,0-1,0,0,1,3,G6,647-1276,740-1280,1690828580,1690828627,,,One Finger,47,,"[740.0, 1280.0]","[647.0, 1276.0]",0.026079869600651995,629.0,,0.026079869600651995
77,103,6,2d,compare,0-1,0,1,1,1,C9-B4-I9,I9,I9,1690828776,1690828830,,,,54,0.0,,,,,,0.0
78,103,7,2d,compare,0-1,0,1,1,2,C10-I5-J9,J9,J9,1690828835,1690828900,,,,65,0.0,,,,,,0.0
79,103,8,2d,compare,0-1,0,1,1,3,G8-C5-J1,G8,G8,1690828902,1690828966,,,,64,0.0,,,,,,0.0
81,103,10,2d,advect,0-1,0,2,1,1,E6,06:20,05:45,1690829296,1690829342,,,,46,,,,,524.0,0.04861111111111111,0.04861111111111111
82,103,11,2d,advect,0-1,0,2,1,2,J10,09:32,07:45,1690829347,1690829391,,,,44,,,,,1255.0,0.1486111111111111,0.1486111111111111
83,103,12,2d,advect,0-1,0,2,1,3,H4,03:05,03:00,1690829394,1690829443,,,,49,,,,,770.0,0.006944444444444444,0.006944444444444444
85,103,14,3d,compare,0-1,1,1,1,1,J4-F7-D4,D4,D4,1690830318,1690830378,,,,60,0.0,,,,,,0.0
86,103,15,3d,compare,0-1,1,1,1,2,A2-G10-H3,A2,A2,1690830381,1690830445,,,,64,0.0,,,,,,0.0
87,103,16,3d,compare,0-1,1,1,1,3,I3-E9-A4,E9,E9,1690830447,1690830484,,,,37,0.0,,,,,,0.0
89,103,18,3d,advect,0-1,1,2,1,1,A3,12:41,07:45,1690830673,1690830705,,,,32,,,,,807.0,0.5888888888888889,0.5888888888888889
90,103,19,3d,advect,0-1,1,2,1,2,G6,04:30,05:00,1690830707,1690830754,,,,47,,,,,629.0,0.041666666666666664,0.041666666666666664
91,103,20,3d,advect,0-1,1,2,1,3,B5,12:19,01:45,1690830757,1690830814,,,,57,,,,,452.0,0.11944444444444446,0.11944444444444446
93,103,22,3d,range,0-1,1,0,1,1,B5,1115-1567,1000-1400,1690831028,1690831092,,,,64,,"[1000.0, 1400.0]","[1115.0, 1567.0]",0.07581982708643158,452.0,,0.07581982708643158
94,103,23,3d,range,0-1,1,0,1,2,B8,723-1283,800-1700,1690831095,1690831153,,,,58,,"[800.0, 1700.0]","[723.0, 1283.0]",0.1328191297187844,560.0,,0.1328191297187844
95,103,24,3d,range,0-1,1,0,1,3,H4,979-1749,300-1500,1690831156,1690831214,,,,58,,"[300.0, 1500.0]","[979.0, 1749.0]",0.2495063813340727,770.0,,0.2495063813340727
97,103,26,physical,advect,0-1,2,2,1,1,J3,02:45,02:50,1690831682,1690831726,,Pick Up,,44,,,,,694.0,0.006944444444444444,0.006944444444444444
98,103,27,physical,advect,0-1,2,2,1,2,G10,09:18,06:50,1690831747,1690831789,,Pick Up,,42,,,,,1165.0,0.20555555555555555,0.20555555555555555
99,103,28,physical,advect,0-1,2,2,1,3,F3,07:18,07:10,1690831790,1690831838,,Pick Up,,48,,,,,976.0,0.011111111111111112,0.011111111111111112
101,103,30,physical,range,0-1,2,0,1,1,A3,980-1787,900-1750,1690831964,1690832020,,Pick Up,,56,,"[900.0, 1750.0]","[980.0, 1787.0]",0.03145716230181736,807.0,,0.03145716230181736
102,103,31,physical,range,0-1,2,0,1,2,E6,948-1472,950-1410,1690832022,1690832075,,Pick Up,,53,,"[950.0, 1410.0]","[948.0, 1472.0]",0.017207336643729153,524.0,,0.017207336643729153
103,103,32,physical,range,0-1,2,0,1,3,J3,801-1495,790-1450,1690832076,1690832127,,Pick Up,,51,,"[790.0, 1450.0]","[801.0, 1495.0]",0.015056419563263009,694.0,,0.015056419563263009
105,103,34,physical,compare,0-1,2,1,1,1,H7-J3-E1,H7,H7,1690832242,1690832289,,Pick Up,Multiple Fingers,47,0.0,,,,,,0.0
106,103,35,physical,compare,0-1,2,1,1,2,B5-H9-B9,H9,H9,1690832291,1690832336,,Pick Up,Multiple Fingers,45,0.0,,,,,,0.0
107,103,36,physical,compare,0-1,2,1,1,3,G1-F9-J8,J8,G1,1690832337,1690832404,,Pick Up,Multiple Fingers,67,1.0,,,,,,1.0
109,104,2,3d,range,2-0,0,0,1,1,C7,1415-2077,1700-2000,1691170666,1691170724,,,,58,,"[1700.0, 2000.0]","[1415.0, 2077.0]",0.06719638175560082,662.0,,0.06719638175560082
110,104,3,3d,range,2-0,0,0,1,2,H10,1171-2040,1100-1600,1691170734,1691170773,,,,39,,"[1100.0, 1600.0]","[1171.0, 2040.0]",0.09485456098649729,869.0,,0.09485456098649729
111,104,4,3d,range,2-0,0,0,1,3,B9,2041-2598,1800-2600,1691170779,1691170821,,,,42,,"[1800.0, 2600.0]","[2041.0, 2598.0]",0.0451069634436768,557.0,,0.0451069634436768
113,104,6,3d,compare,2-0,0,1,1,1,F1-H10-D9,F1,F1,1691171024,1691171039,,,,15,0.0,,,,,,0.0
114,104,7,3d,compare,2-0,0,1,1,2,D4-H3-A6,H3,H3,1691171042,1691171061,,,,19,0.0,,,,,,0.0
115,104,8,3d,compare,2-0,0,1,1,3,H2-A10-E5,H2,H2,1691171063,1691171085,,,,22,0.0,,,,,,0.0
117,104,10,3d,advect,2-0,0,2,1,1,B9,08:55,05:45,1691171276,1691171315,,,,39,,,,,557.0,0.2638888888888889,0.2638888888888889
118,104,11,3d,advect,2-0,0,2,1,2,B3,07:34,07:30,1691171317,1691171347,,,,30,,,,,655.0,0.005555555555555556,0.005555555555555556
119,104,12,3d,advect,2-0,0,2,1,3,G8,04:52,05:05,1691171350,1691171377,,,,27,,,,,736.0,0.018055555555555554,0.018055555555555554
121,104,14,physical,compare,2-0,1,1,1,1,F10-C1-A8,C1,C1,1691171812,1691171827,,Pick Up,Multiple Fingers,15,0.0,,,,,,0.0
122,104,15,physical,compare,2-0,1,1,1,2,J3-G7-A3,J3,J3,1691171830,1691171846,,Pick Up,Multiple Fingers,16,0.0,,,,,,0.0
123,104,16,physical,compare,2-0,1,1,1,3,F8-B6-B2,B2,B2,1691171847,1691171858,,Pick Up,Multiple Fingers,11,0.0,,,,,,0.0
125,104,18,physical,advect,2-0,1,2,1,1,F10,06:59,07:00,1691171962,1691171972,,,Multiple Fingers,10,,,,,738.0,0.001388888888888889,0.001388888888888889
126,104,19,physical,advect,2-0,1,2,1,2,H10,04:53,06:05,1691171977,1691171988,,,Multiple Fingers,11,,,,,869.0,0.1,0.1
127,104,20,physical,advect,2-0,1,2,1,3,B5,03:30,03:30,1691171990,1691172012,,,Multiple Fingers,22,,,,,756.0,0.0,0.0
129,104,22,physical,range,2-0,1,0,1,1,G8,1073-1809,1200-1800,1691172107,1691172132,,Pick Up,,25,,"[1200.0, 1800.0]","[1073.0, 1809.0]",0.025245049499341747,736.0,,0.025245049499341747
130,104,23,physical,range,2-0,1,0,1,2,B3,1150-1805,1000-1600,1691172134,1691172157,,Pick Up,Multiple Fingers,23,,"[1000.0, 1600.0]","[1150.0, 1805.0]",0.06589700420784059,655.0,,0.06589700420784059
131,104,24,physical,range,2-0,1,0,1,3,A7,1797-2345,1800-2250,1691172158,1691172191,,Pick Up,Multiple Fingers,33,,"[1800.0, 2250.0]","[1797.0, 2345.0]",0.018191285668643316,548.0,,0.018191285668643316
133,104,26,2d,advect,2-0,2,2,1,1,C7,07:23,10:00,1691172634,1691172675,,,,41,,,,,662.0,0.21805555555555556,0.21805555555555556
134,104,27,2d,advect,2-0,2,2,1,2,D9,09:41,06:15,1691172677,1691172717,,,,40,,,,,582.0,0.2861111111111111,0.2861111111111111
135,104,28,2d,advect,2-0,2,2,1,3,A7,08:20,08:30,1691172720,1691172767,,,,47,,,,,548.0,0.01388888888888881,0.01388888888888881
137,104,30,2d,range,2-0,2,0,1,1,B5,1409-2165,1360-2180,1691172900,1691172959,,,,59,,"[1360.0, 2180.0]","[1409.0, 2165.0]",0.01188002329380788,756.0,,0.01188002329380788
138,104,31,2d,range,2-0,2,0,1,2,D9,1752-2334,1700-2280,1691172962,1691173006,,,,44,,"[1700.0, 2280.0]","[1752.0, 2334.0]",0.0196762885803693,582.0,,0.0196762885803693
139,104,32,2d,range,2-0,2,0,1,3,E7,1323-2040,1350-2000,1691173017,1691173051,,,,34,,"[1350.0, 2000.0]","[1323.0, 2040.0]",0.012436899385705125,717.0,,0.012436899385705125
141,104,34,2d,compare,2-0,2,1,1,1,D5-G8-G3,G3,G3,1691173131,1691173149,,,,18,0.0,,,,,,0.0
142,104,35,2d,compare,2-0,2,1,1,2,B3-J7-E1,E1,E1,1691173152,1691173166,,,One Finger,14,0.0,,,,,,0.0
143,104,36,2d,compare,2-0,2,1,1,3,H5-C9-D2,H5,H5,1691173169,1691173198,,,One Finger,29,0.0,,,,,,0.0
145,105,2,3d,range,0-2,0,0,1,1,A10,302-1215,100-1150,1691426627,1691426667,,,,40,,"[100.0, 1150.0]","[302.0, 1215.0]",0.11225705209453458,913.0,,0.11225705209453458
146,105,3,3d,range,0-2,0,0,1,2,B2,826-1163,800-1200,1691426669,1691426714,,,,45,,"[800.0, 1200.0]","[826.0, 1163.0]",0.026487619033541868,337.0,,0.026487619033541868
147,105,4,3d,range,0-2,0,0,1,3,J4,353-1060,400-1100,1691426715,1691426745,,,,30,,"[400.0, 1100.0]","[353.0, 1060.0]",0.036578140570129244,707.0,,0.036578140570129244
149,105,6,3d,compare,0-2,0,1,1,1,F9-G4-J1,F9,F9,1691426833,1691426855,,,,22,0.0,,,,,,0.0
150,105,7,3d,compare,0-2,0,1,1,2,B5-J3-J8,J8,J8,1691426857,1691426875,,,,18,0.0,,,,,,0.0
151,105,8,3d,compare,0-2,0,1,1,3,H10-G6-B6,B6,B6,1691426877,1691426906,,,,29,0.0,,,,,,0.0
153,105,10,3d,advect,0-2,0,2,1,1,B4,03:23,02:55,1691427052,1691427090,,,,38,,,,,387.0,0.03888888888888889,0.03888888888888889
154,105,11,3d,advect,0-2,0,2,1,2,G10,09:28,07:50,1691427096,1691427127,,,,31,,,,,723.0,0.1361111111111111,0.1361111111111111
155,105,12,3d,advect,0-2,0,2,1,3,E5,05:05,05:30,1691427129,1691427168,,,,39,,,,,472.0,0.034722222222222224,0.034722222222222224
157,105,14,2d,compare,0-2,1,1,1,1,I10-I2-A10,I10,I10,1691427775,1691427812,,,,37,0.0,,,,,,0.0
158,105,15,2d,compare,0-2,1,1,1,2,F3-D9-B1,D9,D9,1691427813,1691427873,,,,60,0.0,,,,,,0.0
159,105,16,2d,compare,0-2,1,1,1,3,I9-B9-H4,I9,I9,1691427876,1691427921,,,,45,0.0,,,,,,0.0
161,105,18,2d,advect,0-2,1,2,1,1,F2,08:09,10:40,1691428073,1691428110,,,One Finger,37,,,,,508.0,0.20972222222222223,0.20972222222222223
162,105,19,2d,advect,0-2,1,2,1,2,I2,09:57,07:40,1691428115,1691428163,,,,48,,,,,495.0,0.19027777777777777,0.19027777777777777
163,105,20,2d,advect,0-2,1,2,1,3,A10,01:15,01:25,1691428164,1691428207,,,One Finger,43,,,,,913.0,0.013888888888888888,0.013888888888888888
165,105,22,2d,range,0-2,1,0,1,1,B4,658-1045,650-1060,1691428485,1691428523,,,,38,,"[650.0, 1060.0]","[658.0, 1045.0]",0.009670083139229572,387.0,,0.009670083139229572
166,105,23,2d,range,0-2,1,0,1,2,E5,623-1095,630-1130,1691428526,1691428561,,,,35,,"[630.0, 1130.0]","[623.0, 1095.0]",0.017658412689027913,472.0,,0.017658412689027913
167,105,24,2d,range,0-2,1,0,1,3,G10,309-1032,250-1050,1691428563,1691428601,,,,38,,"[250.0, 1050.0]","[309.0, 1032.0]",0.03237375659655117,723.0,,0.03237375659655117
169,105,26,physical,advect,0-2,2,2,1,1,B2,09:29,09:30,1691428989,1691429006,,Pick Up,,17,,,,,337.0,0.001388888888888889,0.001388888888888889
170,105,27,physical,advect,0-2,2,2,1,2,J4,06:04,06:05,1691429011,1691429025,,Pick Up,,14,,,,,707.0,0.001388888888888889,0.001388888888888889
171,105,28,physical,advect,0-2,2,2,1,3,C8,10:07,07:30,1691429027,1691429072,,Pick Up,,45,,,,,465.0,0.21805555555555556,0.21805555555555556
