,ParticipantID,TrialNum,Modality,Task,Dataset,ModalityOrder,TaskOrder,DatasetOrder,Repetition,Target,CorrectAnswer,UserAnswer,UserStartTime,UserEndTime,Drop Notes,Pick up phys,Use body reference frame,TimeOnTask,CompareError,_UserDataRange,_CorrectDataRange,RangeError,CircleDataRange,AdvectError,Error
345,110,22,physical,range,2-0,1,0,1,1,B3,1150-1805,1300-1800,1692644012,1692644049,,Pick Up,One Finger,37,,"[1300.0, 1800.0]","[1150.0, 1805.0]",0.02877193141469096,655.0,,0.02877193141469096
346,110,23,physical,range,2-0,1,0,1,2,C7,1415-2077,1400-1800,1692644052,1692644084,,Pick Up,Multiple Fingers,32,,"[1400.0, 1800.0]","[1415.0, 2077.0]",0.05420260627799846,662.0,,0.05420260627799846
347,110,24,physical,range,2-0,1,0,1,3,G8,1073-1809,1000-1600,1692644091,1692644125,,Pick Up,One Finger,34,,"[1000.0, 1600.0]","[1073.0, 1809.0]",0.052346352638340976,736.0,,0.052346352638340976
349,110,26,2d,advect,2-0,2,2,1,1,B3,07:34,08:00,1692644598,1692644619,,,,21,,,,,655.0,0.03611111111111111,0.03611111111111111
350,110,27,2d,advect,2-0,2,2,1,2,H10,04:53,05:00,1692644627,1692644659,,,,32,,,,,869.0,0.009722222222222222,0.009722222222222222
351,110,28,2d,advect,2-0,2,2,1,3,B9,08:55,06:00,1692644664,1692644705,,,,41,,,,,557.0,0.24305555555555555,0.24305555555555555
353,110,30,2d,range,2-0,2,0,1,1,B5,1409-2165,1400-2400,1692644840,1692644879,,,,39,,"[1400.0, 2400.0]","[1409.0, 2165.0]",0.045292588807642545,756.0,,0.045292588807642545
354,110,31,2d,range,2-0,2,0,1,2,B9,2041-2598,2100-2600,1692644887,1692644918,,,,31,,"[2100.0, 2600.0]","[2041.0, 2598.0]",0.011323147201910636,557.0,,0.011323147201910636
355,110,32,2d,range,2-0,2,0,1,3,H10,1171-2040,1300-1800,1692644928,1692644956,,,,28,,"[1300.0, 1800.0]","[1171.0, 2040.0]",0.06849575930336106,869.0,,0.06849575930336106
357,110,34,2d,compare,2-0,2,1,1,1,G7-D4-A8,D4,D4,1692645043,1692645080,,,Multiple Fingers,37,0.0,,,,,,0.0
358,110,35,2d,compare,2-0,2,1,1,2,A3-E7-G2,G2,A3,1692645082,1692645119,,,Multiple Fingers,37,1.0,,,,,,1.0
359,110,36,2d,compare,2-0,2,1,1,3,A1-E9-G1,G1,A1,1692645130,1692645155,,,,25,1.0,,,,,,1.0
361,111,2,3d,range,0-2,0,0,1,1,I2,495-990,500-750,1692649166,1692649197,,,,31,,"[500.0, 750.0]","[495.0, 990.0]",0.10300740735266282,495.0,,0.10300740735266282
362,111,3,3d,range,0-2,0,0,1,2,C8,630-1095,500-850,1692649238,1692649277,,,,39,,"[500.0, 850.0]","[630.0, 1095.0]",0.15766439900917778,465.0,,0.15766439900917778
363,111,4,3d,range,0-2,0,0,1,3,F7,435-1090,200-1100,1692649284,1692649327,,,,43,,"[200.0, 1100.0]","[435.0, 1090.0]",0.10300740735266282,655.0,,0.10300740735266282
365,111,6,3d,compare,0-2,0,1,1,1,E10-J2-D6,E10,E10,1692649469,1692649498,,,,29,0.0,,,,,,0.0
366,111,7,3d,compare,0-2,0,1,1,2,I7-D1-H3,I7,I7,1692649504,1692649525,,,,21,0.0,,,,,,0.0
367,111,8,3d,compare,0-2,0,1,1,3,D8-B3-G5,G5,D8,1692649528,1692649565,,,,37,1.0,,,,,,1.0
369,111,10,3d,advect,0-2,0,2,1,1,F7,06:44,07:00,1692649806,1692649824,,,,18,,,,,655.0,0.022222222222222223,0.022222222222222223
370,111,11,3d,advect,0-2,0,2,1,2,B4,03:23,03:00,1692649828,1692649852,,,,24,,,,,387.0,0.03194444444444444,0.03194444444444444
371,111,12,3d,advect,0-2,0,2,1,3,F2,08:09,08:00,1692649854,1692649870,,,,16,,,,,508.0,0.0125,0.0125
373,111,14,2d,compare,0-2,1,1,1,1,G9-H5-A3,G9,H5,1692650489,1692650524,,,One Finger,35,1.0,,,,,,1.0
374,111,15,2d,compare,0-2,1,1,1,2,J8-B9-H4,J8,J8,1692650528,1692650554,,,Multiple Fingers,26,0.0,,,,,,0.0
375,111,16,2d,compare,0-2,1,1,1,3,F2-C8-B2,F2,F2,1692650556,1692650603,,,,47,0.0,,,,,,0.0
377,111,18,2d,advect,0-2,1,2,1,1,B2,09:29,09:00,1692650777,1692650840,,,,63,,,,,337.0,0.04027777777777778,0.04027777777777778
378,111,19,2d,advect,0-2,1,2,1,2,A10,01:15,02:00,1692650844,1692650899,,,,55,,,,,913.0,0.0625,0.0625
379,111,20,2d,advect,0-2,1,2,1,3,I2,09:57,10:00,1692650905,1692650939,,,,34,,,,,495.0,0.004166666666666667,0.004166666666666667
381,111,22,2d,range,0-2,1,0,1,1,B2,826-1163,870-1120,1692651194,1692651245,,,One Finger,51,,"[870.0, 1120.0]","[826.0, 1163.0]",0.036578140570129244,337.0,,0.036578140570129244
382,111,23,2d,range,0-2,1,0,1,2,A10,302-1215,350-1220,1692651255,1692651295,,,,40,,"[350.0, 1220.0]","[302.0, 1215.0]",0.022283235059963796,913.0,,0.022283235059963796
383,111,24,2d,range,0-2,1,0,1,3,F2,348-856,370-830,1692651302,1692651334,,,,32,,"[370.0, 830.0]","[348.0, 856.0]",0.020181043073174757,508.0,,0.020181043073174757
385,111,26,physical,advect,0-2,2,2,1,1,G10,09:28,09:30,1692651968,1692651995,,,One Finger,27,,,,,723.0,0.002777777777777778,0.002777777777777778
386,111,27,physical,advect,0-2,2,2,1,2,C8,10:07,10:00,1692651997,1692652026,,,One Finger,29,,,,,465.0,0.009722222222222222,0.009722222222222222
387,111,28,physical,advect,0-2,2,2,1,3,J4,06:04,06:00,1692652027,1692652059,,,One Finger,32,,,,,707.0,0.005555555555555556,0.005555555555555556
389,111,30,physical,range,0-2,2,0,1,1,G10,309-1032,150-1050,1692652212,1692652252,,,One Finger,40,,"[150.0, 1050.0]","[309.0, 1032.0]",0.07441759633233191,723.0,,0.07441759633233191
390,111,31,physical,range,0-2,2,0,1,2,B4,658-1045,650-1000,1692652254,1692652296,,,One Finger,42,,"[650.0, 1000.0]","[658.0, 1045.0]",0.022283235059963796,387.0,,0.022283235059963796
391,111,32,physical,range,0-2,2,0,1,3,E5,623-1095,350-1100,1692652297,1692652334,,,Multiple Fingers,37,,"[350.0, 1100.0]","[623.0, 1095.0]",0.11688187446547046,472.0,,0.11688187446547046
393,111,34,physical,compare,0-2,2,1,1,1,I5-A2-J1,I5,I5,1692652429,1692652450,,,Multiple Fingers,21,0.0,,,,,,0.0
394,111,35,physical,compare,0-2,2,1,1,2,D5-H1-H8,H8,H8,1692652455,1692652481,,,Multiple Fingers,26,0.0,,,,,,0.0
395,111,36,physical,compare,0-2,2,1,1,3,J4-B8-F7,B8,B8,1692652483,1692652517,,,Multiple Fingers,34,0.0,,,,,,0.0
397,112,2,physical,range,0-1,0,0,1,1,J3,801-1495,800-1400,1692821365,1692821401,,Pick Up,,36,,"[800.0, 1400.0]","[801.0, 1495.0]",0.02581100496559373,694.0,,0.02581100496559373
398,112,3,physical,range,0-1,0,0,1,2,J10,641-1896,600-1800,1692821403,1692821432,,Pick Up,,29,,"[600.0, 1800.0]","[641.0, 1896.0]",0.03683445500298272,1255.0,,0.03683445500298272
399,112,4,physical,range,0-1,0,0,1,3,E6,948-1472,1200-1400,1692821434,1692821480,,Pick Up,,46,,"[1200.0, 1400.0]","[948.0, 1472.0]",0.08711214175887884,524.0,,0.08711214175887884
401,112,6,physical,compare,0-1,0,1,1,1,C10-J4-H8,H8,H8,1692821651,1692821681,,Rotate,One Finger,30,0.0,,,,,,0.0
402,112,7,physical,compare,0-1,0,1,1,2,F2-A3-A9,A9,A9,1692821682,1692821707,,Pick Up,Multiple Fingers,25,0.0,,,,,,0.0
403,112,8,physical,compare,0-1,0,1,1,3,D2-I5-D8,D2,D2,1692821710,1692821732,,Pick Up,Multiple Fingers,22,0.0,,,,,,0.0
405,112,10,physical,advect,0-1,0,2,1,1,G6,04:30,04:30,1692821893,1692821918,,Rotate,One Finger,25,,,,,629.0,0.0,0.0
406,112,11,physical,advect,0-1,0,2,1,2,F3,07:18,11:45,1692821920,1692821946,,Rotate,One Finger,26,,,,,976.0,0.37083333333333335,0.37083333333333335
407,112,12,physical,advect,0-1,0,2,1,3,B5,12:19,12:30,1692821949,1692821979,,Rotate,One Finger,30,,,,,452.0,0.015277777777777798,0.015277777777777798
409,112,14,3d,compare,0-1,1,1,1,1,I10-C2-J6,J6,J6,1692822506,1692822543,,,,37,0.0,,,,,,0.0
410,112,15,3d,compare,0-1,1,1,1,2,B4-J10-G2,G2,G2,1692822550,1692822582,,,,32,0.0,,,,,,0.0
411,112,16,3d,compare,0-1,1,1,1,3,E3-C7-I6,I6,I6,1692822586,1692822618,,,,32,0.0,,,,,,0.0
413,112,18,3d,advect,0-1,1,2,1,1,B8,06:59,07:30,1692822751,1692822794,,,,43,,,,,560.0,0.043055555555555555,0.043055555555555555
414,112,19,3d,advect,0-1,1,2,1,2,J3,02:45,02:30,1692822796,1692822832,,,,36,,,,,694.0,0.020833333333333332,0.020833333333333332
415,112,20,3d,advect,0-1,1,2,1,3,J10,09:32,08:30,1692822834,1692822877,,,,43,,,,,1255.0,0.08611111111111111,0.08611111111111111
417,112,22,3d,range,0-1,1,0,1,1,B8,723-1283,400-1000,1692823000,1692823049,,,,49,,"[400.0, 1000.0]","[723.0, 1283.0]",0.16293196884531042,560.0,,0.16293196884531042
418,112,23,3d,range,0-1,1,0,1,2,A3,980-1787,700-1400,1692823054,1692823113,,,,59,,"[700.0, 1400.0]","[980.0, 1787.0]",0.17933271158386477,807.0,,0.17933271158386477
419,112,24,3d,range,0-1,1,0,1,3,H4,979-1749,900-1600,1692823116,1692823166,,,,50,,"[900.0, 1600.0]","[979.0, 1749.0]",0.0613011367932851,770.0,,0.0613011367932851
421,112,26,2d,advect,0-1,2,2,1,1,E6,06:20,06:30,1692823635,1692823664,,,,29,,,,,524.0,0.013888888888888888,0.013888888888888888
422,112,27,2d,advect,0-1,2,2,1,2,H4,03:05,03:15,1692823666,1692823725,,,,59,,,,,770.0,0.013888888888888888,0.013888888888888888
423,112,28,2d,advect,0-1,2,2,1,3,G10,09:18,06:30,1692823727,1692823799,,,,72,,,,,1165.0,0.23333333333333334,0.23333333333333334
425,112,30,2d,range,0-1,2,0,1,1,G6,647-1276,650-1800,1692823945,1692824002,**** wrong target,,,57,,"[650.0, 1800.0]","[647.0, 1276.0]",0.14169166267570724,629.0,,0.14169166267570724
426,112,31,2d,range,0-1,2,0,1,2,G10,623-1788,650-1800,1692824004,1692824051,,,,47,,"[650.0, 1800.0]","[623.0, 1788.0]",0.010485720767272453,1165.0,,0.010485720767272453
427,112,32,2d,range,0-1,2,0,1,3,B5,1115-1567,1100-1450,1692824054,1692824092,,,,38,,"[1100.0, 1450.0]","[1115.0, 1567.0]",0.035490131827691375,452.0,,0.035490131827691375
429,112,34,2d,compare,0-1,2,1,1,1,F7-B7-F1,B7,B7,1692824232,1692824286,,,,54,0.0,,,,,,0.0
430,112,35,2d,compare,0-1,2,1,1,2,F4-I7-B1,I7,I7,1692824286,1692824328,,,,42,0.0,,,,,,0.0
431,112,36,2d,compare,0-1,2,1,1,3,C5-I8-G5,I8,I8,1692824329,1692824361,,,,32,0.0,,,,,,0.0
433,113,2,2d,range,2-0,0,0,1,1,F10,1416-2154,1600-2000,1692899109,1692899148,,,,39,,"[1600.0, 2000.0]","[1416.0, 2154.0]",0.06274137302042287,738.0,,0.06274137302042287
434,113,3,2d,range,2-0,0,0,1,2,G8,1073-1809,1200-1600,1692899153,1692899185,,,,32,,"[1200.0, 1600.0]","[1073.0, 1809.0]",0.06237012229249137,736.0,,0.06237012229249137
435,113,4,2d,range,2-0,0,0,1,3,H10,1171-2040,1400-1800,1692899186,1692899221,,,,35,,"[1400.0, 1800.0]","[1171.0, 2040.0]",0.08705829569993588,869.0,,0.08705829569993588
437,113,6,2d,compare,2-0,0,1,1,1,D10-J4-A5,J4,J4,1692899396,1692899429,,,One Finger,33,0.0,,,,,,0.0
438,113,7,2d,compare,2-0,0,1,1,2,D5-I3-I8,I3,I3,1692899431,1692899452,,,Multiple Fingers,21,0.0,,,,,,0.0
439,113,8,2d,compare,2-0,0,1,1,3,A4-J7-G1,G1,G1,1692899453,1692899467,,,Multiple Fingers,14,0.0,,,,,,0.0
441,113,10,2d,advect,2-0,0,2,1,1,G8,04:52,04:30,1692899778,1692899819,,,,41,,,,,736.0,0.030555555555555555,0.030555555555555555
442,113,11,2d,advect,2-0,0,2,1,2,A7,08:20,06:00,1692899820,1692899846,,,,26,,,,,548.0,0.19444444444444453,0.19444444444444453
443,113,12,2d,advect,2-0,0,2,1,3,E7,05:36,06:00,1692899848,1692899887,,,,39,,,,,717.0,0.03333333333333333,0.03333333333333333
445,113,14,physical,compare,2-0,1,1,1,1,G3-C1-H7,G3,G3,1692900366,1692900405,,,One Finger,39,0.0,,,,,,0.0
446,113,15,physical,compare,2-0,1,1,1,2,C7-H6-E2,H6,E2,1692900407,1692900440,,,Multiple Fingers,33,1.0,,,,,,1.0
447,113,16,physical,compare,2-0,1,1,1,3,J10-D1-C6,J10,J10,1692900443,1692900474,,,Multiple Fingers,31,0.0,,,,,,0.0
449,113,18,physical,advect,2-0,1,2,1,1,H10,04:53,06:00,1692900584,1692900603,,,One Finger,19,,,,,869.0,0.09305555555555556,0.09305555555555556
450,113,19,physical,advect,2-0,1,2,1,2,D9,09:41,10:00,1692900604,1692900633,,,One Finger,29,,,,,582.0,0.02638888888888889,0.02638888888888889
451,113,20,physical,advect,2-0,1,2,1,3,C7,07:23,08:00,1692900634,1692900668,,,One Finger,34,,,,,662.0,0.05138888888888889,0.05138888888888889
453,113,22,physical,range,2-0,1,0,1,1,E7,1323-2040,1400-2000,1692900928,1692900995,,,One Finger,67,,"[1400.0, 2000.0]","[1323.0, 2040.0]",0.02171816758399253,717.0,,0.02171816758399253
454,113,23,physical,range,2-0,1,0,1,2,B3,1150-1805,1200-1600,1692901003,1692901035,,,One Finger,32,,"[1200.0, 1600.0]","[1150.0, 1805.0]",0.047334467811265775,655.0,,0.047334467811265775
455,113,24,physical,range,2-0,1,0,1,3,D9,1752-2334,1600-2200,1692901037,1692901068,,,One Finger,31,,"[1600.0, 2200.0]","[1752.0, 2334.0]",0.05308885409420397,582.0,,0.05308885409420397
457,113,26,3d,advect,2-0,2,2,1,1,B9,08:55,06:00,1692902120,1692902156,,,,36,,,,,557.0,0.24305555555555555,0.24305555555555555
458,113,27,3d,advect,2-0,2,2,1,2,F10,06:59,07:00,1692902157,1692902176,,,,19,,,,,738.0,0.001388888888888889,0.001388888888888889
459,113,28,3d,advect,2-0,2,2,1,3,B3,07:34,07:30,1692902177,1692902223,,,,46,,,,,655.0,0.005555555555555556,0.005555555555555556
461,113,30,3d,range,2-0,2,0,1,1,C7,1415-2077,600-1200,1692902434,1692902511,,,,77,,"[600.0, 1200.0]","[1415.0, 2077.0]",0.31407811583004586,662.0,,0.31407811583004586
462,113,31,3d,range,2-0,2,0,1,2,A7,1797-2345,1800-2400,1692902517,1692902583,,,,66,,"[1800.0, 2400.0]","[1797.0, 2345.0]",0.010766271110013392,548.0,,0.010766271110013392
463,113,32,3d,range,2-0,2,0,1,3,B9,2041-2598,1800-2600,1692902588,1692902641,,,,53,,"[1800.0, 2600.0]","[2041.0, 2598.0]",0.0451069634436768,557.0,,0.0451069634436768
465,113,34,3d,compare,2-0,2,1,1,1,G5-B10-D2,G5,G5,1692902736,1692902789,,,,53,0.0,,,,,,0.0
466,113,35,3d,compare,2-0,2,1,1,2,F4-J5-B5,J5,J5,1692902790,1692902842,,,,52,0.0,,,,,,0.0
467,113,36,3d,compare,2-0,2,1,1,3,I2-C3-G6,I2,I2,1692902843,1692902879,,,,36,0.0,,,,,,0.0
469,114,2,physical,range,0-2,0,0,1,1,I2,495-990,300-800,1692905156,1692905184,,Rotate,One Finger,28,,"[300.0, 800.0]","[495.0, 990.0]",0.16186878298275587,495.0,,0.16186878298275587
470,114,3,physical,range,0-2,0,0,1,2,B2,826-1163,650-950,1692905193,1692905218,,,One Finger,25,,"[650.0, 950.0]","[826.0, 1163.0]",0.1635505365721871,337.0,,0.1635505365721871
471,114,4,physical,range,0-2,0,0,1,3,B4,658-1045,500-800,1692905221,1692905246,,,One Finger,25,,"[500.0, 800.0]","[658.0, 1045.0]",0.1694366741351964,387.0,,0.1694366741351964
473,114,6,physical,compare,0-2,0,1,1,1,B5-H7-D9,H7,H7,1692905401,1692905431,,,Multiple Fingers,30,0.0,,,,,,0.0
474,114,7,physical,compare,0-2,0,1,1,2,G2-C9-I8,I8,I8,1692905435,1692905460,,,Multiple Fingers,25,0.0,,,,,,0.0
475,114,8,physical,compare,0-2,0,1,1,3,E3-A8-F7,A8,A8,1692905462,1692905487,,,Multiple Fingers,25,0.0,,,,,,0.0
477,114,10,physical,advect,0-2,0,2,1,1,C8,10:07,07:30,1692905735,1692905754,,,One Finger,19,,,,,465.0,0.21805555555555556,0.21805555555555556
478,114,11,physical,advect,0-2,0,2,1,2,J4,06:04,02:00,1692905756,1692905775,,,One Finger,19,,,,,707.0,0.3388888888888889,0.3388888888888889
479,114,12,physical,advect,0-2,0,2,1,3,G10,09:28,09:15,1692905778,1692905793,,,One Finger,15,,,,,723.0,0.018055555555555554,0.018055555555555554
481,114,14,2d,compare,0-2,1,1,1,1,H10-G3-A5,G3,G3,1692906433,1692906472,,,One Finger,39,0.0,,,,,,0.0
482,114,15,2d,compare,0-2,1,1,1,2,D4-G10-B10,D4,G10,1692906483,1692906522,,,One Finger,39,1.0,,,,,,1.0
483,114,16,2d,compare,0-2,1,1,1,3,A9-F8-I4,F8,F8,1692906524,1692906554,,,One Finger,30,0.0,,,,,,0.0
485,114,18,2d,advect,0-2,1,2,1,1,I2,09:57,08:30,1692906890,1692906923,,,,33,,,,,495.0,0.12083333333333333,0.12083333333333333
486,114,19,2d,advect,0-2,1,2,1,2,A10,01:15,01:30,1692906925,1692906953,,,,28,,,,,913.0,0.020833333333333332,0.020833333333333332
487,114,20,2d,advect,0-2,1,2,1,3,F7,06:44,07:00,1692906955,1692906975,,,,20,,,,,655.0,0.022222222222222223,0.022222222222222223
489,114,22,2d,range,0-2,1,0,1,1,F2,348-856,350-900,1692907271,1692907312,,,,41,,"[350.0, 900.0]","[348.0, 856.0]",0.019340166278459144,508.0,,0.019340166278459144
490,114,23,2d,range,0-2,1,0,1,2,C8,630-1095,700-1100,1692907314,1692907361,,,,47,,"[700.0, 1100.0]","[630.0, 1095.0]",0.031532879801835556,465.0,,0.031532879801835556
491,114,24,2d,range,0-2,1,0,1,3,J4,353-1060,350-1100,1692907362,1692907400,,,,38,,"[350.0, 1100.0]","[353.0, 1060.0]",0.01807885108638572,707.0,,0.01807885108638572
493,114,26,3d,advect,0-2,2,2,1,1,F2,08:09,08:00,1692908271,1692908290,,,,19,,,,,508.0,0.0125,0.0125
494,114,27,3d,advect,0-2,2,2,1,2,B4,03:23,03:00,1692908293,1692908325,,,,32,,,,,387.0,0.03194444444444444,0.03194444444444444
495,114,28,3d,advect,0-2,2,2,1,3,E5,05:05,07:30,1692908328,1692908346,,,,18,,,,,472.0,0.2013888888888889,0.2013888888888889
497,114,30,3d,range,0-2,2,0,1,1,G10,309-1032,300-1100,1692908621,1692908680,,,,59,,"[300.0, 1100.0]","[309.0, 1032.0]",0.03237375659655117,723.0,,0.03237375659655117
498,114,31,3d,range,0-2,2,0,1,2,E5,623-1095,200-650,1692908682,1692908734,,,,52,,"[200.0, 650.0]","[623.0, 1095.0]",0.36494052890657686,472.0,,0.36494052890657686
499,114,32,3d,range,0-2,2,0,1,3,F7,435-1090,300-1000,1692908735,1692908770,,,,35,,"[300.0, 1000.0]","[435.0, 1090.0]",0.09459863940550668,655.0,,0.09459863940550668
501,114,34,3d,compare,0-2,2,1,1,1,I1-G5-H9,H9,G5,1692908896,1692908931,,,,35,1.0,,,,,,1.0
502,114,35,3d,compare,0-2,2,1,1,2,C6-A2-J2,C6,C6,1692908934,1692908961,,,,27,0.0,,,,,,0.0
503,114,36,3d,compare,0-2,2,1,1,3,I7-A1-D6,I7,I7,1692908962,1692908991,,,,29,0.0,,,,,,0.0
505,115,2,2d,range,0-1,0,0,1,1,G6,647-1276,700-1300,1693939390,1693939431,,,,41,,"[700.0, 1300.0]","[647.0, 1276.0]",0.020702576899486638,629.0,,0.020702576899486638
506,115,3,2d,range,0-1,0,0,1,2,F3,805-1781,800-1700,1693939442,1693939501,,,,59,,"[800.0, 1700.0]","[805.0, 1781.0]",0.023122358615011048,976.0,,0.023122358615011048
507,115,4,2d,range,0-1,0,0,1,3,J3,801-1495,800-1400,1693939508,1693939550,,,,42,,"[800.0, 1400.0]","[801.0, 1495.0]",0.02581100496559373,694.0,,0.02581100496559373
509,115,6,2d,compare,0-1,0,1,1,1,B10-A6-C3,C3,C3,1693939706,1693939735,,,Multiple Fingers,29,0.0,,,,,,0.0
510,115,7,2d,compare,0-1,0,1,1,2,G8-C8-J10,G8,G8,1693939743,1693939779,,,Multiple Fingers,36,0.0,,,,,,0.0
511,115,8,2d,compare,0-1,0,1,1,3,H8-D2-I3,H8,H8,1693939781,1693939850,,,Multiple Fingers,69,0.0,,,,,,0.0
513,115,10,2d,advect,0-1,0,2,1,1,H4,03:05,03:00,1693940198,1693940255,,,One Finger,57,,,,,770.0,0.006944444444444444,0.006944444444444444
514,115,11,2d,advect,0-1,0,2,1,2,G10,09:18,08:00,1693940259,1693940324,,,Multiple Fingers,65,,,,,1165.0,0.10833333333333334,0.10833333333333334
