,ParticipantID,TrialNum,Modality,Task,Dataset,ModalityOrder,TaskOrder,DatasetOrder,Repetition,Target,CorrectAnswer,UserAnswer,UserStartTime,UserEndTime,Drop Notes,Pick up phys,Use body reference frame,TimeOnTask,CompareError,_UserDataRange,_CorrectDataRange,RangeError,CircleDataRange,AdvectError,Error
515,115,12,2d,advect,0-1,0,2,1,3,G6,04:30,04:30,1693940332,1693940387,,,One Finger,55,,,,,629.0,0.0,0.0
517,115,14,3d,compare,0-1,0,2,1,1,H4,03:05,03:00,1693940198,1693940255,,,,57,1.0,,,,,,1.0
518,115,15,3d,compare,0-1,0,2,1,2,G10,09:18,08:00,1693940259,1693940324,,,,65,1.0,,,,,,1.0
519,115,16,3d,compare,0-1,0,2,1,3,G6,04:30,04:30,1693940332,1693940387,,,,55,0.0,,,,,,0.0
521,115,18,3d,advect,0-1,1,2,1,1,B8,06:59,06:30,1693942276,1693942316,,,,40,,,,,560.0,0.04027777777777778,0.04027777777777778
522,115,19,3d,advect,0-1,1,2,1,2,J3,02:45,02:15,1693942322,1693942350,,,,28,,,,,694.0,0.041666666666666664,0.041666666666666664
523,115,20,3d,advect,0-1,1,2,1,3,J10,09:32,08:15,1693942357,1693942389,,,,32,,,,,1255.0,0.10694444444444444,0.10694444444444444
525,115,22,3d,range,0-1,1,0,1,1,B5,1115-1567,600-1300,1693942644,1693942689,,,,45,,"[600.0, 1300.0]","[1115.0, 1567.0]",0.21025214461556557,452.0,,0.21025214461556557
526,115,23,3d,range,0-1,1,0,1,2,E6,948-1472,1000-1500,1693942698,1693942739,,,,41,,"[1000.0, 1500.0]","[948.0, 1472.0]",0.02150917080466144,524.0,,0.02150917080466144
527,115,24,3d,range,0-1,1,0,1,3,B8,723-1283,400-800,1693942742,1693942798,,,,56,,"[400.0, 800.0]","[723.0, 1283.0]",0.216704895856964,560.0,,0.216704895856964
529,115,26,physical,advect,0-1,2,2,1,1,B5,12:19,01:15,1693943250,1693943285,,,One Finger,35,,,,,452.0,0.07777777777777779,0.07777777777777779
530,115,27,physical,advect,0-1,2,2,1,2,E6,06:20,06:30,1693943288,1693943308,,,One Finger,20,,,,,524.0,0.013888888888888888,0.013888888888888888
531,115,28,physical,advect,0-1,2,2,1,3,F3,07:18,07:30,1693943310,1693943340,,,One Finger,30,,,,,976.0,0.016666666666666666,0.016666666666666666
533,115,30,physical,range,0-1,2,0,1,1,A3,980-1787,900-1700,1693943519,1693943570,,,Multiple Fingers,51,,"[900.0, 1700.0]","[980.0, 1787.0]",0.04490039405473076,807.0,,0.04490039405473076
534,115,31,physical,range,0-1,2,0,1,2,J10,641-1896,700-1900,1693943581,1693943622,,,Multiple Fingers,41,,"[700.0, 1900.0]","[641.0, 1896.0]",0.016938472008670883,1255.0,,0.016938472008670883
535,115,32,physical,range,0-1,2,0,1,3,H4,979-1749,700-1500,1693943627,1693943667,,,Multiple Fingers,40,,"[700.0, 1500.0]","[979.0, 1749.0]",0.1419605273107655,770.0,,0.1419605273107655
537,115,34,physical,compare,0-1,2,1,1,1,C4-J5-H9,H9,H9,1693943753,1693943777,,,Multiple Fingers,24,0.0,,,,,,0.0
538,115,35,physical,compare,0-1,2,1,1,2,F6-A2-I2,A2,A2,1693943779,1693943800,,,Multiple Fingers,21,0.0,,,,,,0.0
539,115,36,physical,compare,0-1,2,1,1,3,H2-B6-I6,I6,I6,1693943801,1693943820,,,Multiple Fingers,19,0.0,,,,,,0.0
541,116,2,3d,range,2-0,0,0,1,1,A7,1797-2345,1200-1600,1695063309,1695063375,,,,66,,"[1200.0, 1600.0]","[1797.0, 2345.0]",0.249109238442034,548.0,,0.249109238442034
542,116,3,3d,range,2-0,0,0,1,2,B5,1409-2165,1900-2500,1695063379,1695063424,,,,45,,"[1900.0, 2500.0]","[1409.0, 2165.0]",0.15332655063570796,756.0,,0.15332655063570796
543,116,4,3d,range,2-0,0,0,1,3,G8,1073-1809,1200-1450,1695063430,1695063477,,,,47,,"[1200.0, 1450.0]","[1073.0, 1809.0]",0.0902139268873536,736.0,,0.0902139268873536
545,116,6,3d,compare,2-0,0,1,1,1,G7-B4-F2,F2,G7,1695063605,1695063663,,,,58,1.0,,,,,,1.0
546,116,7,3d,compare,2-0,0,1,1,2,H2-B1-G6,H2,H2,1695063677,1695063714,,,,37,0.0,,,,,,0.0
547,116,8,3d,compare,2-0,0,1,1,3,D4-J1-E8,J1,J1,1695063719,1695063738,,,,19,0.0,,,,,,0.0
549,116,10,3d,advect,2-0,0,2,1,1,B9,08:55,05:15,1695063955,1695063975,,,,20,,,,,557.0,0.3055555555555556,0.3055555555555556
550,116,11,3d,advect,2-0,0,2,1,2,F10,06:59,07:00,1695063978,1695063993,,,,15,,,,,738.0,0.001388888888888889,0.001388888888888889
551,116,12,3d,advect,2-0,0,2,1,3,E7,05:36,09:00,1695063994,1695064023,,,,29,,,,,717.0,0.2833333333333333,0.2833333333333333
553,116,14,physical,compare,2-0,1,1,1,1,C3-J6-D9,J6,J6,1695064448,1695064468,,,Multiple Fingers,20,0.0,,,,,,0.0
554,116,15,physical,compare,2-0,1,1,1,2,A6-G3-F8,G3,G3,1695064469,1695064490,,,Multiple Fingers,21,0.0,,,,,,0.0
555,116,16,physical,compare,2-0,1,1,1,3,B5-J9-F7,J9,J9,1695064491,1695064507,,,Multiple Fingers,16,0.0,,,,,,0.0
557,116,18,physical,advect,2-0,1,2,1,1,G8,04:52,05:00,1695064651,1695064665,,,One Finger,14,,,,,736.0,0.011111111111111112,0.011111111111111112
558,116,19,physical,advect,2-0,1,2,1,2,D9,09:41,06:15,1695064666,1695064686,,,One Finger,20,,,,,582.0,0.2861111111111111,0.2861111111111111
559,116,20,physical,advect,2-0,1,2,1,3,B5,03:30,03:30,1695064692,1695064710,,,One Finger,18,,,,,756.0,0.0,0.0
561,116,22,physical,range,2-0,1,0,1,1,B9,2041-2598,2000-2600,1695064870,1695064893,,,One Finger,23,,"[2000.0, 2600.0]","[2041.0, 2598.0]",0.00798189065052717,557.0,,0.00798189065052717
562,116,23,physical,range,2-0,1,0,1,2,D9,1752-2334,1700-2200,1695064894,1695064916,,,One Finger,22,,"[1700.0, 2200.0]","[1752.0, 2334.0]",0.03452631769762915,582.0,,0.03452631769762915
563,116,24,physical,range,2-0,1,0,1,3,B3,1150-1805,900-1900,1695064917,1695064944,,,One Finger,27,,"[900.0, 1900.0]","[1150.0, 1805.0]",0.0640407505681831,655.0,,0.0640407505681831
565,116,26,2d,advect,2-0,2,2,1,1,C7,07:23,07:30,1695065345,1695065381,,,,36,,,,,662.0,0.009722222222222222,0.009722222222222222
566,116,27,2d,advect,2-0,2,2,1,2,A7,08:20,08:30,1695065383,1695065430,,,,47,,,,,548.0,0.01388888888888881,0.01388888888888881
567,116,28,2d,advect,2-0,2,2,1,3,H10,04:53,07:30,1695065431,1695065481,,,,50,,,,,869.0,0.21805555555555556,0.21805555555555556
569,116,30,2d,range,2-0,2,0,1,1,C7,1415-2077,600-2200,1695065624,1695065670,,,,46,,"[600.0, 2200.0]","[1415.0, 2077.0]",0.17411659139987176,662.0,,0.17411659139987176
570,116,31,2d,range,2-0,2,0,1,2,F10,1416-2154,1400-3200,1695065670,1695065716,,,,46,,"[1400.0, 3200.0]","[1416.0, 2154.0]",0.1971341365316245,738.0,,0.1971341365316245
571,116,32,2d,range,2-0,2,0,1,3,H10,1171-2040,1350-2040,1695065718,1695065753,,,,35,,"[1350.0, 2040.0]","[1171.0, 2040.0]",0.03322694014986891,869.0,,0.03322694014986891
573,116,34,2d,compare,2-0,2,1,1,1,F1-A7-B3,F1,F1,1695065827,1695065841,,,Multiple Fingers,14,0.0,,,,,,0.0
574,116,35,2d,compare,2-0,2,1,1,2,I10-G5-A4,G5,G5,1695065842,1695065881,,,Multiple Fingers,39,0.0,,,,,,0.0
575,116,36,2d,compare,2-0,2,1,1,3,J8-D7-A1,J8,J8,1695065882,1695065922,,,Multiple Fingers,40,0.0,,,,,,0.0
577,117,2,3d,range,0-2,0,0,1,1,I2,495-990,500-700,1695069858,1695069916,,,,58,,"[500.0, 700.0]","[495.0, 990.0]",0.1240293272205532,495.0,,0.1240293272205532
578,117,3,3d,range,0-2,0,0,1,2,C8,630-1095,400-700,1695069926,1695070007,,,,81,,"[400.0, 700.0]","[630.0, 1095.0]",0.26277399834862963,465.0,,0.26277399834862963
579,117,4,3d,range,0-2,0,0,1,3,E5,623-1095,300-800,1695070010,1695070067,,,,57,,"[300.0, 800.0]","[623.0, 1095.0]",0.259830929567125,472.0,,0.259830929567125
581,117,6,3d,compare,0-2,0,1,1,1,B7-F6-C1,B7,B7,1695070202,1695070229,,,,27,0.0,,,,,,0.0
582,117,7,3d,compare,0-2,0,1,1,2,G2-F7-C10,G2,G2,1695070233,1695070284,,,,51,0.0,,,,,,0.0
583,117,8,3d,compare,0-2,0,1,1,3,A6-E3-E8,E8,E8,1695070289,1695070322,,,,33,0.0,,,,,,0.0
585,117,10,3d,advect,0-2,0,2,1,1,B4,03:23,02:45,1695070476,1695070499,,,,23,,,,,387.0,0.05277777777777778,0.05277777777777778
586,117,11,3d,advect,0-2,0,2,1,2,C8,10:07,07:45,1695070502,1695070527,,,,25,,,,,465.0,0.19722222222222222,0.19722222222222222
587,117,12,3d,advect,0-2,0,2,1,3,J4,06:04,06:15,1695070529,1695070544,,,,15,,,,,707.0,0.015277777777777777,0.015277777777777777
589,117,14,2d,compare,0-2,1,1,1,1,I2-I9-D7,I9,I9,1695071113,1695071138,,,,25,0.0,,,,,,0.0
590,117,15,2d,compare,0-2,1,1,1,2,C7-H6-I1,H6,H6,1695071139,1695071196,,,One Finger,57,0.0,,,,,,0.0
591,117,16,2d,compare,0-2,1,1,1,3,I10-J4-A9,I10,I10,1695071197,1695071232,,,One Finger,35,0.0,,,,,,0.0
593,117,18,2d,advect,0-2,1,2,1,1,E5,05:05,07:30,1695071375,1695071415,,,,40,,,,,472.0,0.2013888888888889,0.2013888888888889
594,117,19,2d,advect,0-2,1,2,1,2,B2,09:29,10:30,1695071417,1695071499,,,,82,,,,,337.0,0.08472222222222223,0.08472222222222223
595,117,20,2d,advect,0-2,1,2,1,3,G10,09:28,10:45,1695071500,1695071545,,,,45,,,,,723.0,0.10694444444444444,0.10694444444444444
597,117,22,2d,range,0-2,1,0,1,1,A10,302-1215,250-1400,1695071682,1695071740,,,,58,,"[250.0, 1400.0]","[302.0, 1215.0]",0.09964390017380037,913.0,,0.09964390017380037
598,117,23,2d,range,0-2,1,0,1,2,F7,435-1090,400-1200,1695071742,1695071796,,,,54,,"[400.0, 1200.0]","[435.0, 1090.0]",0.060963567616882076,655.0,,0.060963567616882076
599,117,24,2d,range,0-2,1,0,1,3,G10,309-1032,250-1100,1695071799,1695071849,,,,50,,"[250.0, 1100.0]","[309.0, 1032.0]",0.053395676464441544,723.0,,0.053395676464441544
601,117,26,physical,advect,0-2,2,2,1,1,F7,06:44,07:00,1695072171,1695072191,,Pick Up,One Finger,20,,,,,655.0,0.022222222222222223,0.022222222222222223
602,117,27,physical,advect,0-2,2,2,1,2,A10,01:15,06:45,1695072217,1695072230,,Pick Up,One Finger,13,,,,,913.0,0.4583333333333333,0.4583333333333333
603,117,28,physical,advect,0-2,2,2,1,3,I2,09:57,09:15,1695072233,1695072254,,Pick Up,One Finger,21,,,,,495.0,0.058333333333333334,0.058333333333333334
605,117,30,physical,range,0-2,2,0,1,1,F2,348-856,200-600,1695072357,1695072390,,Rotate,One Finger,33,,"[200.0, 600.0]","[348.0, 856.0]",0.1698571125325542,508.0,,0.1698571125325542
606,117,31,physical,range,0-2,2,0,1,2,J4,353-1060,300-1100,1695072392,1695072430,,Rotate,One Finger,38,,"[300.0, 1100.0]","[353.0, 1060.0]",0.039100770954276096,707.0,,0.039100770954276096
607,117,32,physical,range,0-2,2,0,1,3,B4,658-1045,600-1000,1695072431,1695072472,,Rotate,One Finger,41,,"[600.0, 1000.0]","[658.0, 1045.0]",0.04330515492785417,387.0,,0.04330515492785417
609,117,34,physical,compare,0-2,2,1,1,1,F2-I6-A8,I6,A8,1695072557,1695072595,,Pick Up,Multiple Fingers,38,1.0,,,,,,1.0
610,117,35,physical,compare,0-2,2,1,1,2,F5-F1-H10,F1,F1,1695072597,1695072619,,Pick Up,Multiple Fingers,22,0.0,,,,,,0.0
611,117,36,physical,compare,0-2,2,1,1,3,D1-J5-C8,J5,J5,1695072620,1695072637,,,Multiple Fingers,17,0.0,,,,,,0.0
613,118,2,physical,range,0-1,0,0,1,1,F3,805-1781,600-1600,1695135118,1695135167,,,One Finger,49,,"[600.0, 1600.0]","[805.0, 1781.0]",0.10378174913249145,976.0,,0.10378174913249145
614,118,3,physical,range,0-1,0,0,1,2,J3,801-1495,300-1400,1695135176,1695135211,,,One Finger,35,,"[300.0, 1400.0]","[801.0, 1495.0]",0.16024332249472772,694.0,,0.16024332249472772
615,118,4,physical,range,0-1,0,0,1,3,G10,623-1788,600-1750,1695135214,1695135259,,,One Finger,45,,"[600.0, 1750.0]","[623.0, 1788.0]",0.01640074273855435,1165.0,,0.01640074273855435
617,118,6,physical,compare,0-1,0,1,1,1,I8-J3-A1,I8,I8,1695135378,1695135404,,,Multiple Fingers,26,0.0,,,,,,0.0
618,118,7,physical,compare,0-1,0,1,1,2,H10-A8-H2,H2,H2,1695135406,1695135451,,,Multiple Fingers,45,0.0,,,,,,0.0
619,118,8,physical,compare,0-1,0,1,1,3,F8-C5-I3,F8,F8,1695135453,1695135493,,,Multiple Fingers,40,0.0,,,,,,0.0
621,118,10,physical,advect,0-1,0,2,1,1,E6,06:20,06:15,1695135657,1695135680,,,One Finger,23,,,,,524.0,0.006944444444444444,0.006944444444444444
622,118,11,physical,advect,0-1,0,2,1,2,A3,12:41,12:45,1695135681,1695135699,,,One Finger,18,,,,,807.0,0.005555555555555536,0.005555555555555536
623,118,12,physical,advect,0-1,0,2,1,3,J10,09:32,08:15,1695135700,1695135724,,,One Finger,24,,,,,1255.0,0.10694444444444444,0.10694444444444444
625,118,14,3d,compare,0-1,1,1,1,1,H7-C6-I1,I1,I1,1695136353,1695136397,,,,44,0.0,,,,,,0.0
626,118,15,3d,compare,0-1,1,1,1,2,F9-B7-J7,J7,J7,1695136401,1695136451,,,,50,0.0,,,,,,0.0
627,118,16,3d,compare,0-1,1,1,1,3,B10-J10-J5,J5,J5,1695136454,1695136491,,,,37,0.0,,,,,,0.0
629,118,18,3d,advect,0-1,1,2,1,1,G6,04:30,04:15,1695136596,1695136627,,,,31,,,,,629.0,0.020833333333333332,0.020833333333333332
630,118,19,3d,advect,0-1,1,2,1,2,G10,09:18,06:45,1695136629,1695136662,,,,33,,,,,1165.0,0.2125,0.2125
631,118,20,3d,advect,0-1,1,2,1,3,H4,03:05,03:15,1695136668,1695136688,,,,20,,,,,770.0,0.013888888888888888,0.013888888888888888
633,118,22,3d,range,0-1,1,0,1,1,H4,979-1749,900-1600,1695136844,1695136908,,,,64,,"[900.0, 1600.0]","[979.0, 1749.0]",0.0613011367932851,770.0,,0.0613011367932851
634,118,23,3d,range,0-1,1,0,1,2,B8,723-1283,700-1200,1695136911,1695136955,,,,44,,"[700.0, 1200.0]","[723.0, 1283.0]",0.02849965131617641,560.0,,0.02849965131617641
635,118,24,3d,range,0-1,1,0,1,3,B5,1115-1567,1000-1450,1695136957,1695137009,,,,52,,"[1000.0, 1450.0]","[1115.0, 1567.0]",0.06237659533351818,452.0,,0.06237659533351818
637,118,26,2d,advect,0-1,2,2,1,1,B8,06:59,07:00,1695137415,1695137453,,,,38,,,,,560.0,0.001388888888888889,0.001388888888888889
638,118,27,2d,advect,0-1,2,2,1,2,F3,07:18,07:15,1695137454,1695137499,,,,45,,,,,976.0,0.004166666666666667,0.004166666666666667
639,118,28,2d,advect,0-1,2,2,1,3,B5,12:19,01:30,1695137500,1695137553,,,,53,,,,,452.0,0.09861111111111114,0.09861111111111114
641,118,30,2d,range,0-1,2,0,1,1,G6,647-1276,640-1280,1695137682,1695137714,,,,32,,"[640.0, 1280.0]","[647.0, 1276.0]",0.002957510985640948,629.0,,0.002957510985640948
642,118,31,2d,range,0-1,2,0,1,2,A3,980-1787,920-1780,1695137717,1695137762,,,,45,,"[920.0, 1780.0]","[980.0, 1787.0]",0.018013930548903958,807.0,,0.018013930548903958
643,118,32,2d,range,0-1,2,0,1,3,J10,641-1896,610-1890,1695137763,1695137802,,,,39,,"[610.0, 1890.0]","[641.0, 1896.0]",0.009947991497155917,1255.0,,0.009947991497155917
645,118,34,2d,compare,0-1,2,1,1,1,H5-E10-A9,A9,A9,1695137900,1695137934,,,,34,0.0,,,,,,0.0
646,118,35,2d,compare,0-1,2,1,1,2,D9-I2-A2,D9,D9,1695137935,1695137970,,,,35,0.0,,,,,,0.0
647,118,36,2d,compare,0-1,2,1,1,3,H9-F5-B5,H9,H9,1695137970,1695138007,,,,37,0.0,,,,,,0.0
649,120,2,physical,range,0-2,0,0,1,1,F2,348-856,450-850,1695215178,1695215225,,Rotate,One Finger,47,,"[450.0, 850.0]","[348.0, 856.0]",0.0454073469146432,508.0,,0.0454073469146432
650,120,3,physical,range,0-2,0,0,1,2,C8,630-1095,550-1100,1695215231,1695215284,,Rotate,Multiple Fingers,53,,"[550.0, 1100.0]","[630.0, 1095.0]",0.035737263775413634,465.0,,0.035737263775413634
651,120,4,physical,range,0-2,0,0,1,3,A10,302-1215,250-1200,1695215288,1695215318,,Rotate,Multiple Fingers,30,,"[250.0, 1200.0]","[302.0, 1215.0]",0.0281693726229731,913.0,,0.0281693726229731
653,120,6,physical,compare,0-2,0,1,1,1,C8-G5-I10,G5,G5,1695215443,1695215492,,,Multiple Fingers,49,0.0,,,,,,0.0
654,120,7,physical,compare,0-2,0,1,1,2,E10-J1-B2,E10,E10,1695215493,1695215547,,,Multiple Fingers,54,0.0,,,,,,0.0
655,120,8,physical,compare,0-2,0,1,1,3,A7-E2-G10,A7,E2,1695215550,1695215606,,,Multiple Fingers,56,1.0,,,,,,1.0
657,120,10,physical,advect,0-2,0,2,1,1,F7,06:44,06:45,1695215786,1695215819,*asked clarifying question,,One Finger,33,,,,,655.0,0.001388888888888889,0.001388888888888889
658,120,11,physical,advect,0-2,0,2,1,2,B4,03:23,02:45,1695215821,1695215854,,,One Finger,33,,,,,387.0,0.05277777777777778,0.05277777777777778
659,120,12,physical,advect,0-2,0,2,1,3,E5,05:05,06:30,1695215855,1695215891,,,One Finger,36,,,,,472.0,0.11805555555555555,0.11805555555555555
661,120,14,2d,compare,0-2,1,1,1,1,I3-A8-H8,H8,H8,1695216312,1695216368,,,,56,0.0,,,,,,0.0
662,120,15,2d,compare,0-2,1,1,1,2,H6-C6-B10,H6,H6,1695216376,1695216424,,,,48,0.0,,,,,,0.0
663,120,16,2d,compare,0-2,1,1,1,3,J9-H1-B9,J9,J9,1695216434,1695216498,,,,64,0.0,,,,,,0.0
665,120,18,2d,advect,0-2,1,2,1,1,C8,10:07,10:15,1695216648,1695216690,,,,42,,,,,465.0,0.011111111111111112,0.011111111111111112
666,120,19,2d,advect,0-2,1,2,1,2,B2,09:29,09:30,1695216695,1695216736,,,,41,,,,,337.0,0.001388888888888889,0.001388888888888889
667,120,20,2d,advect,0-2,1,2,1,3,J4,06:04,06:00,1695216739,1695216783,,,,44,,,,,707.0,0.005555555555555556,0.005555555555555556
669,120,22,2d,range,0-2,1,0,1,1,I2,495-990,480-1000,1695216927,1695216969,,,,42,,"[480.0, 1000.0]","[495.0, 990.0]",0.010510959933945185,495.0,,0.010510959933945185
670,120,23,2d,range,0-2,1,0,1,2,G10,309-1032,280-1020,1695216978,1695217024,,,,46,,"[280.0, 1020.0]","[309.0, 1032.0]",0.017237974291670104,723.0,,0.017237974291670104
671,120,24,2d,range,0-2,1,0,1,3,B4,658-1045,660-1060,1695217027,1695217065,,,,38,,"[660.0, 1060.0]","[658.0, 1045.0]",0.007147452755082727,387.0,,0.007147452755082727
673,120,26,3d,advect,0-2,2,2,1,1,F2,08:09,08:15,1695217569,1695217604,,,,35,,,,,508.0,0.008333333333333333,0.008333333333333333
674,120,27,3d,advect,0-2,2,2,1,2,I2,09:57,06:00,1695217609,1695217643,,,,34,,,,,495.0,0.32916666666666666,0.32916666666666666
675,120,28,3d,advect,0-2,2,2,1,3,A10,01:15,02:15,1695217648,1695217688,,,,40,,,,,913.0,0.08333333333333333,0.08333333333333333
677,120,30,3d,range,0-2,2,0,1,1,J4,353-1060,400-900,1695217834,1695217883,,,,49,,"[400.0, 900.0]","[353.0, 1060.0]",0.08703074825306614,707.0,,0.08703074825306614
678,120,31,3d,range,0-2,2,0,1,2,B2,826-1163,850-1000,1695217886,1695217946,,,,60,,"[850.0, 1000.0]","[826.0, 1163.0]",0.07862198030590999,337.0,,0.07862198030590999
679,120,32,3d,range,0-2,2,0,1,3,F7,435-1090,500-1200,1695217955,1695218020,,,,65,,"[500.0, 1200.0]","[435.0, 1090.0]",0.0735767195376163,655.0,,0.0735767195376163
681,120,34,3d,compare,0-2,2,1,1,1,D2-B8-G9,G9,G9,1695218215,1695218233,,,,18,0.0,,,,,,0.0
682,120,35,3d,compare,0-2,2,1,1,2,D10-B3-F6,D10,B3,1695218237,1695218289,,,,52,1.0,,,,,,1.0
683,120,36,3d,compare,0-2,2,1,1,3,J10-C5-G6,J10,J10,1695218297,1695218343,,,,46,0.0,,,,,,0.0
685,121,2,2d,range,0-1,0,0,1,1,J3,801-1495,810-1500,1695312629,1695312665,,,,36,,"[810.0, 1500.0]","[801.0, 1495.0]",0.003764104890815752,694.0,,0.003764104890815752
686,121,3,2d,range,0-1,0,0,1,2,J10,641-1896,700-1900,1695312670,1695312691,,,,21,,"[700.0, 1900.0]","[641.0, 1896.0]",0.016938472008670883,1255.0,,0.016938472008670883
